Major,College,Type
Natural Science,University of Hawaiʻi–West Oʻahu,BS
New Media Arts,Kapiʻolani Community College,AS
Nurse Aide,Kauaʻi Community College,CO
Nurse Aide,Maui College,CO
Nursing,University of Hawaiʻi at Mānoa,"MS, BS"
Nursing,University of Hawaiʻi at Hilo,BS
Nursing Education,University of Hawaiʻi at Mānoa,GCert
Nursing Practice,University of Hawaiʻi at Mānoa,DNP
Nursing Practice,University of Hawaiʻi at Hilo,DNP
"Nursing, Associate",Hawaiʻi Community College,AS
"Nursing, Associate",Kapiʻolani Community College,AS
"Nursing, Associate",Kauaʻi Community College,AS
"Nursing, Associate",Maui College,AS
"Nursing, Practical",Hawaiʻi Community College,CA
"Nursing, Practical",Kapiʻolani Community College,CA
"Nursing, Practical",Kauaʻi Community College,CA
"Nursing, Practical",Maui College,CA
Nutritional Sciences,University of Hawaiʻi at Mānoa,"PhD, MS"
Occupational & Environmental Safety Management,Honolulu Community College,"AS, CA"
Occupational Therapy Assistant,Kapiʻolani Community College,AS
Ocean & Resources Engineering,University of Hawaiʻi at Mānoa,"PhD, MS"
Ocean Policy,University of Hawaiʻi at Mānoa,GCert
Oceanography,University of Hawaiʻi at Mānoa,"PhD, MS"
On-Line Learning and Teaching,University of Hawaiʻi at Mānoa,GCert
One Health,University of Hawaiʻi at Mānoa,UCert
Pacific Islands Studies,University of Hawaiʻi at Mānoa,"MA, BA, GCert"
Pacific Islands Studies,University of Hawaiʻi at Hilo,UCert
Paralegal,Kapiʻolani Community College,"AS, CA"
Peace Studies,University of Hawaiʻi at Mānoa,UCert
Performing Arts,University of Hawaiʻi at Hilo,"BA, UCert"
Pharmaceutical Science Innovation,University of Hawaiʻi at Hilo,GCert
Pharmacy,University of Hawaiʻi at Hilo,PharmD
Pharmacy Studies,University of Hawaiʻi at Hilo,BA
Pharmacy Technician,Maui College,CO
Philippine Language & Culture,University of Hawaiʻi at Mānoa,BA
Philippine Studies,University of Hawaiʻi at Mānoa,GCert
Philosophy,University of Hawaiʻi at Mānoa,"PhD, MA, BA"
Philosophy,University of Hawaiʻi at Hilo,BA
Philosophy for Children Hawaii,University of Hawaiʻi at Mānoa,GCert
Physical Therapist Assistant,Kapiʻolani Community College,AS
Physics,University of Hawaiʻi at Mānoa,"PhD, MS, BS, BA"
Physics,University of Hawaiʻi at Hilo,BA
Planning,University of Hawaiʻi at Hilo,UCert
Planning Studies,University of Hawaiʻi at Mānoa,GCert
Plant-Food Production and Tech,Windward Community College,CO
Political Science,University of Hawaiʻi at Mānoa,"PhD, MA, BA"
Political Science,University of Hawaiʻi at Hilo,BA
Pre-Law,University of Hawaiʻi at Hilo,UCert
Pre-Pharmacy,University of Hawaiʻi at Hilo,UCert
Professional Educational Practice,University of Hawaiʻi at Mānoa,EdD
Program Evaluation,University of Hawaiʻi at Mānoa,GCert
Psychology,University of Hawaiʻi at Mānoa,"PhD, MA, BS, BA"
Psychology,University of Hawaiʻi at Hilo,BA
Public Administration,University of Hawaiʻi at Mānoa,"MPA, GCert"
Public Administration,University of Hawaiʻi–West Oʻahu,BA
Public Health,University of Hawaiʻi at Mānoa,"PhD, MS, MPH, BA"
Public Health,Kauaʻi Community College,CO
Public History,University of Hawaiʻi at Hilo,UCert
Public Policy,University of Hawaiʻi at Mānoa,GCert
Public Policy,University of Hawaiʻi at Hilo,UCert
Quantitative Health and Clinical Research,University of Hawaiʻi at Mānoa,MS
Queer Studies,University of Hawaiʻi at Mānoa,UCert
Radiologic Technologist,Kapiʻolani Community College,AS
Refrigeration & Air Conditioning Technology,Honolulu Community College,"AAS, CA"
Religious Traditions and Ancient Civilizations,University of Hawaiʻi at Mānoa,BA
Religious Traditions of Asia and the Pacific,University of Hawaiʻi at Mānoa,MA
Renewable Energy and Island Sustainability,University of Hawaiʻi at Mānoa,GCert
Resource Management,University of Hawaiʻi at Mānoa,GCert
Respiratory Care Practitioner,Kapiʻolani Community College,AS
Risk Management and Insurance,University of Hawaiʻi–West Oʻahu,UCert
Rural Health,University of Hawaiʻi at Hilo,GCert
Russian,University of Hawaiʻi at Mānoa,UCert
STEM Research Honors,University of Hawaiʻi at Hilo,UCert
School Counseling,University of Hawaiʻi at Mānoa,MEd
Second Language Studies,University of Hawaiʻi at Mānoa,"PhD, MA, BA, GCert"
Secondary Education,University of Hawaiʻi at Mānoa,BEd
Sheet Metal & Plastics Technology,Honolulu Community College,"AAS, CA"
Social Science Health and Medicine,University of Hawaiʻi–West Oʻahu,SC
Social Sciences,University of Hawaiʻi–West Oʻahu,BA
Social Work,University of Hawaiʻi at Mānoa,"MSW, BSW"
Sociology,University of Hawaiʻi at Mānoa,"PhD, MA, BA"
Sociology,University of Hawaiʻi at Hilo,BA
South Asian Studies,University of Hawaiʻi at Mānoa,GCert
Southeast Asian Studies,University of Hawaiʻi at Mānoa,GCert
Spanish,University of Hawaiʻi at Mānoa,"MA, UCert"
Spanish Language for Careers,University of Hawaiʻi at Hilo,UCert
Special Education,University of Hawaiʻi at Mānoa,"MEd, BEd, PB"
Special Education PK-12,Leeward Community College,APC
Substance Abuse Disorders Counseling,Hawaiʻi Community College,CO
Substance Abuse Disorders Counseling,Leeward Community College,CO
Substance Abuse and Addiction Studies,University of Hawaiʻi–West Oʻahu,UCert
Sustainability,University of Hawaiʻi at Mānoa,UCert
Sustainability Issues,University of Hawaiʻi at Hilo,UCert
Sustainability Issues,University of Hawaiʻi–West Oʻahu,UCert
Sustainability and Resilience Eduction,University of Hawaiʻi at Mānoa,GCert
Sustainable Agriculture,Leeward Community College,"AS, CA, CO"
Sustainable Agriculture,Windward Community College,CO
Sustainable Science Management,Maui College,BAS
Sustainable Tourism,University of Hawaiʻi at Mānoa,UCert
Sustainable Tourism,University of Hawaiʻi at Hilo,UCert
Teacher Education,University of Hawaiʻi at Mānoa,PB
Teacher Leader,University of Hawaiʻi at Mānoa,GCert
Teaching,University of Hawaiʻi at Hilo,MA
Teaching,Leeward Community College,"AS, CO"
Teaching English Speakers of Other Languages,Kapiʻolani Community College,CO
Teaching English as a Second Language,University of Hawaiʻi at Hilo,UCert
Technical Teacher Education,Leeward Community College,CO
Telecommunications & Information Resource Management,University of Hawaiʻi at Mānoa,GCert
Theatre & Dance,University of Hawaiʻi at Mānoa,"PhD, MFA, MA, BFA, BA"
Travel Industry Management,University of Hawaiʻi at Mānoa,"MS, BS, UCert"
Tropical Agriculture and the Environment,University of Hawaiʻi at Mānoa,BS
Tropical Conservation Biology & Environmental Science,University of Hawaiʻi at Hilo,MS
Tropical Forest Ecosytems & Agroforestry Management,Hawaiʻi Community College,"AS, CA"
Tropical Plant Pathology,University of Hawaiʻi at Mānoa,"PhD, MS"
Tropical Plant and Soil Sciences,University of Hawaiʻi at Mānoa,"PhD, MS"
Unmanned Aircraft Systems,University of Hawaiʻi at Hilo,UCert
Urban and Regional Planning,University of Hawaiʻi at Mānoa,"PhD, MURP, GCert"
Veterinary Assisting,Windward Community College,CA
Veterinary Pharmacy Sciences,University of Hawaiʻi at Hilo,GCert
Veterinary Technology,Windward Community College,AS
Visual Arts,Kauaʻi Community College,ASC
Web Support,Windward Community College,CO
Welding Technology,Honolulu Community College,"AAS, CA"
Wildlife Science,University of Hawaiʻi at Hilo,SC
"Women, Gender and Sexuality Studies",University of Hawaiʻi at Mānoa,"BA, GCert, UCert"
Zoology,University of Hawaiʻi at Mānoa,"PhD, MS"
